feature,importance
image_edge_density,0.1264518351050042
image_dark_ratio,0.07933443462708228
file_size_kb,0.06930269503657367
image_entropy,0.06694173721537645
image_light_ratio,0.0630450889628874
ela_mean,0.06056364424593597
ela_std,0.05111331337496002
ela_high_ratio,0.049683240031904594
green_std,0.045610470268671606
blue_std,0.04489711329330492
red_std,0.04442578822775862
image_std,0.04422425215373703
blue_mean,0.03989738682644006
red_mean,0.039675349870261334
green_mean,0.03909151761874717
image_mean,0.03829735587533592
ela_max,0.02689090499931783
ela_p95,0.02443246150173297
ela_p99,0.023775299089195862
ela_score,0.021760627678598363
image_height,0.00020927756832769375
image_width,0.00020122985750076818
image_aspect_ratio,0.00017497657134526738
suspicious_keyword_count,0.0
metadata_suspicious_count,0.0
date_count,0.0
ocr_text_length,0.0
ocr_confidence,0.0
amount_count,0.0
max_amount,0.0
average_amount,0.0
amount_variance,0.0
